1253656	1N	1-naphthol
1253656	ALH	amplitude of lateral head displacement
1253656	ATSDR	Agency for Substances and Disease Registry
1253656	BCF	beat cross frequency
1253656	CASA	computer-aided semen analysis
1253656	CI	confidence interval
1253656	LOD	limit of detection
1253656	NHANES	National Health and Nutrition Examination Survey
1253656	ORs	Odds ratios
1253656	ORs	odds ratios
1253656	ROS	reactive oxygen species
1253656	SG	specific gravity
1253656	TCPY	3,5,6-trichloro-2-pyridinol
1253656	WHO	World Health Organization
1325037	FC	flow cytometric
1325037	FNAC	fine needle aspiration cytology
1325037	ICC	Immunocytochemistry
1325037	ICC	immunocytochemistry
1325037	LCA	leukocyte common antigen
1325037	LDH	Lactate dehydrogenase
1325037	LDH	lactate dehydrogenase
1325037	MALT	mucosa-associated lymphoid tissue
1325037	NHL	non- Hodgkin's lymphoma
1325037	PTL	Primary thyroid lymphoma
1325037	PTL	Primary thyroid lymphomas
1325037	PTL	primary thyroid non-Hodgkin's lymphoma
1325037	TMA	Thyroid microsomal antibody
1479836	ATCC	American Tissue Culture Collection
1479836	BCA	bicinchoninic acid
1479836	CDK	cyclin-dependent kinase
1479836	CMV	cytomegaloviral
1479836	CMV	cytomegalovirus
1479836	COX	cyclooxygenase
1479836	COX-2	cyclooxygenase-2
1479836	Cox-2	cycloxygenase-2
1479836	Cxb	celecoxib
1479836	DMC	2,5-Dimethyl-celecoxib
1479836	DMC	2,5-dimethyl-celecoxib
1479836	DMC	Dimethyl-celecoxib
1479836	DMC	dimethyl-celecoxib
1479836	FAP	familial adenomatous polyposis
1479836	IACUC	Institutional Animal Care and Use Committee
1479836	IAP	inhibitor of apoptosis
1479836	NSAIDs	Nonsteroidal anti-inflammatory drugs
1479836	NSAIDs	non-steroidal anti-inflammatory drugs
1479836	NSAIDs	nonsteroidal antiinflammatory drugs
1479836	NSAIDs	nonsteroidal, anti-inflammatory drugs
1479836	NSCLC	non-small cell lung cancer
1479836	TMZ	temozolomide
1479836	TdT	terminal deoxynucleotidyl transferase
1479836	bp	base pairs
1479836	p21-/-	p21
1479836	p53-/-	p53 alleles
2000887	B2M	beta-2-microglobulin
2000887	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
2000887	HMBS	hydroxymethylbilane synthase
2000887	HPRT1	hypoxanthine phosphoribosyltransferase 1
2000887	NF	normalization factor
2000887	RPL4	ribosomal protein L4
2000887	qPCR	quantitative PCR
2096715	AD	Alzheimer's disease
2096715	AD	Alzheimer’s disease
2096715	ApoE	apolipoprotein E
2096715	CVD	cardiovascular disease
2096715	CVD	genotype-cardiovascular disease
2096715	HO-1	Heme oxygenase-1
2096715	HO-1	heme oxygenase-1
2096715	IL	Interleukin
2096715	LPS	lipopolysacharide
2096715	MIP1alpha	macrophage inflammatory protein-1alpha
2096715	MIP1α	macrophage inflammatory protein-1alpha
2096715	NF-κB	nuclear factor κB
2096715	NF-κB-SEAP	NF-κB-secretory alkaline phosphatase
2096715	PMSF	phenylmethylsulfonyl fluoride
2096715	TLR 4	Toll-like receptor 4
2096715	TNFalpha	Tumour necrosis factor alpha
2096715	TNFα	Tumour necrosis factor alpha
2096715	VCAM-1	vascular cell adhesion molecule-1
2096715	apoE	Apolipoprotein E
2096715	kappaB	NF-kappaB
2254971	ANOVA	analysis of variance
2254971	BAK	benzalkonium chloride
2254971	BAK Em	BAK in emulsion
2254971	BAK Sol	BAK solution
2254971	CCR	CC chemokine receptor
2254971	CD	cluster of differentiation
2254971	CKC	cetalkonium chloride
2254971	CKC Em	CKC in emulsion
2254971	CKC Sol	CKC solution
2254971	CsA	cyclosporine A
2254971	FCM	flow cytometry
2254971	HLA	human leukocyte antigen
2254971	HRT	Heidelberg Retina Tomograph
2254971	IC	impression cytology
2254971	IL	interleukin
2254971	IVCM	In vivo confocal microscopy
2254971	IVCM	in vivo confocal microscopy
2254971	N/C	nucleocytoplasmic
2254971	PBS	phosphate-buffered saline
2254971	PFA	paraformaldehyde
2254971	QAC	quaternary ammonium compounds
2254971	QACs	quaternary ammonium compounds
2254971	RCM	II/Rostock Cornea Module
2254971	RLA	rabbit leukocyte antigen
2254971	SE	means+-standard error
2254971	SE	means±standard error
2254971	TNF	tumor necrosis factor
2254971	TNFR1	tumor necrosis factor receptor type 1
2254971	TUNEL	transferase-mediated dUTP-nick end labeling
2265545	BCRC	Bioresource Collection and Research Center
2265545	DF	dengue fever
2265545	DHF	dengue hemorrhagic fever
2265545	DMEM	Dulbecco's Modified Essential Medium
2265545	DNASTAR	DEN genome were mapped using the software Lasergene version 6.00
2265545	DSS	dengue shock syndrome
2265545	EMEM	Eagle's Minimum Essential Medium
2265545	FBS	fetal bovine serum
2265545	MOI	multiplicity of infection
2265545	PBS	phosphate buffer saline
2265545	PCR	polymerase chain reaction
2265545	p-distance	pair wise distance matrix
2265545	pfu	plaque forming units
2276181	BSA	bovine serum albumin
2276181	CM	cutaneous melanomas
2276181	ECM	extracellular matrix
2276181	FBS	Fetal bovine serum
2276181	FITC	Fluorescein isothiocyanate
2276181	FITC	fluorescein isothiocyanate
2276181	FN	fibronectin
2276181	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
2276181	III	GnT-III
2276181	PBS	phosphate-buffered saline
2276181	PHA-L	Phaseolus vulgaris agglutinin
2276181	PHA-L	phaseolus vulgaris agglutinin
2276181	PVDF	polyvinylidene difluoride
2276181	UM	Uveal melanoma
2500019	BAC	Bacterial Artificial Chromosomes
2500019	BM	bone marrow
2500019	CML	Chronic myeloid leukaemia
2500019	Center	Children's Hospital Oakland Research Institute
2500019	FISH	fluorescence in situ hybridisation
2500019	POMT1	protein-O-mannosyltransferase1
2500019	Ph	Philadelphia chromosome
2500019	UCK1	uridine-cytidine kinase 1
2500019	aCGH	Array CGH analysis
2500019	in red	inserted sequences
2572590	ER	endoplasmic reticulum
2572590	MIC	g(MIC)
2572590	MIC	g(MIC) respectively
2572590	MIC	maximal inward current
2572590	NMDA	N-methyl-D-aspartate
2572590	NR2A/B	NR2A or NR2B subunits
2572590	NR2C/D	NR2C or NR2D subunits
2572590	P14	postnatal day 14
2613033	AA	arachidonic acid
2613033	ALA	alpha-linolenic acid
2613033	ARIC	Atherosclerosis Risk in Communities
2613033	CAD	coronary artery disease
2613033	CRP	C-reactive protein
2613033	DHQ	dietary history questionnaire
2613033	DPA	docosapentaenoic acid
2613033	DPA	docosapentanoic acid
2613033	EDA	eicosadienoic acid
2613033	EPA	eicosapentanoic acid
2613033	FA	Fatty acids
2613033	FADS1	fatty acids and plasma lipids by rs174537
2613033	FADS1 FADS2	fatty acid desaturase 1 fatty acid desaturase 2
2613033	FAME	Fatty acid methyl esters
2613033	FFQ	food-frequency questionnaire
2613033	FHS	Family Heart Study
2613033	GC	gas chromatograph
